Finished;Country;Region_UN;Region_Sub_UN;Q_Language;Gender;Age;Country;WorldIs;Identitiy
1;Taiwan;Asia;Eastern Asia;EN;Female;31-35;Taiwan;Full of struggles;Global (I am a citizen of the world)
1;Kenya;Africa;Eastern Africa;EN;Male;31-35;Kenya;Full of struggles;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;NA;Male;18-21;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;Kuwait;Asia;Western Asia;EN;Male;27-30;Kuwait;Full of struggles;Global (I am a citizen of the world)
1;Italy;Europe;Southern Europe;EN;Male;27-30;Italy;Full of struggles;Global (I am a citizen of the world)
1;Armenia;Asia;Western Asia;EN;Female;27-30;Armenia;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Switzerland;Europe;Western Europe;EN;Male;31-35;Switzerland;Full of opportunities;Global (I am a citizen of the world)
1;Brazil;Americas;South America;EN;Male;27-30;Brazil;Full of opportunities;Global (I am a citizen of the world)
1;Trinidad and Tobago;Americas;Caribbean;EN;Male;27-30;Trinidad and Tobago;Full of struggles;Ethnicity (I am Tutsi / I am Indigenous)
1;Pakistan;Asia;Southern Asia;NA;Male;22-26;Pakistan;Full of struggles;Global (I am a citizen of the world)
1;Trinidad and Tobago;Americas;Caribbean;EN;Male;27-30;Trinidad and Tobago;Full of opportunities;Global (I am a citizen of the world)
1;United States;Americas;Northern America;EN;Female;31-35;United States;Full of struggles;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;31-35;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;22-26;Tunisia;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;22-26;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Saint Lucia;Americas;Caribbean;EN;Male;22-26;Saint Lucia;Full of opportunities;Other
1;United States;Americas;Northern America;EN;Male;31-35;United States;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Other
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;NA;Male;22-26;Tunisia;Full of struggles;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;27-30;Tunisia;Full of struggles;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Tunisia;Africa;Northern Africa;EN;Male;22-26;Tunisia;Full of opportunities;Other
1;Tunisia;Africa;Northern Africa;EN;Female;27-30;Tunisia;Full of struggles;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of struggles;None
1;Tunisia;Africa;Northern Africa;NA;Female;22-26;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Male;22-26;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;None
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of struggles;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;18-21;Tunisia;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Tunisia;Africa;Northern Africa;NA;Female;18-21;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of struggles;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Male;22-26;Tunisia;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Tunisia;Africa;Northern Africa;EN;Male;18-21;Tunisia;Full of struggles;Other
1;Kuwait;Asia;Western Asia;EN;Female;22-26;Kuwait;Full of opportunities;Other
1;Pakistan;Asia;Southern Asia;EN;Male;27-30;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;27-30;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Bolivia;Americas;South America;EN;Female;22-26;Bolivia;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Armenia;Asia;Western Asia;EN;Male;31-35;Armenia;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Male;22-26;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;Lebanon;Asia;Western Asia;EN;Female;31-35;Lebanon;Full of opportunities;Global (I am a citizen of the world)
1;Kenya;Africa;Eastern Africa;EN;Male;27-30;Kenya;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;NA;Male;22-26;India;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Male;27-30;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of opportunities;Other
1;Tunisia;Africa;Northern Africa;EN;Male;27-30;Tunisia;Full of struggles;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;18-21;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Rwanda;Africa;Eastern Africa;EN;Female;22-26;Rwanda;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;NA;Male;22-26;India;Full of opportunities;Other
1;Pakistan;Asia;Southern Asia;EN;Female;18-21;Pakistan;Full of struggles;Global (I am a citizen of the world)
1;Uganda;Africa;Eastern Africa;NA;Male;22-26;Nigeria;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;NA;Female;18-21;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Male;22-26;Pakistan;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Pakistan;Asia;Southern Asia;NA;Male;22-26;Pakistan;Full of struggles;Global (I am a citizen of the world)
1;Armenia;Asia;Western Asia;EN;Male;27-30;Armenia;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Cameroon;Africa;Middle Africa;EN;Male;27-30;Cameroon;Full of struggles;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;Australia;Oceania;Australia and New Zealand;EN;Female;22-26;Australia;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Female;18-21;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;Germany;Europe;Western Europe;EN;Male;27-30;Germany;Full of opportunities;None
1;Pakistan;Asia;Southern Asia;EN;Male;27-30;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;NA;Male;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Male;31-35;United Kingdom;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Male;22-26;Pakistan;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of struggles;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Other
1;Italy;Europe;Southern Europe;EN;Male;27-30;Italy;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;United States;Americas;Northern America;EN;Female;22-26;United States;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of struggles;Religion (I am Muslim / I am Christian)
1;Australia;Oceania;Australia and New Zealand;EN;Female;18-21;Australia;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;18-21;Tunisia;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Aruba (Netherlands);Americas;Caribbean;EN;Male;22-26;Aruba (Netherlands);Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Aruba (Netherlands);Americas;Caribbean;EN;Female;22-26;Aruba (Netherlands);Full of opportunities;Global (I am a citizen of the world)
1;Aruba (Netherlands);Americas;Caribbean;EN;Female;22-26;Aruba (Netherlands);Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Male;27-30;India;Full of struggles;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;22-26;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;EN;Male;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;18-21;India;Full of opportunities;Ethnicity (I am Tutsi / I am Indigenous)
1;Trinidad and Tobago;Americas;Caribbean;EN;Male;27-30;Trinidad and Tobago;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Poland;Europe;Eastern Europe;EN;Male;22-26;Poland;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Pakistan;Asia;Southern Asia;EN;Female;18-21;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;Pakistan;Asia;Southern Asia;NA;Male;27-30;Pakistan;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Other
1;Brazil;Americas;South America;EN;Female;22-26;Brazil;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Female;27-30;Pakistan;Full of struggles;None
1;Pakistan;Asia;Southern Asia;EN;Male;31-35;Pakistan;Full of opportunities;None
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;United Kingdom;Europe;Northern Europe;EN;Male;27-30;France;Full of struggles;Global (I am a citizen of the world)
1;United States;Americas;Northern America;EN;Female;27-30;United States;Full of struggles;Ethnicity (I am Tutsi / I am Indigenous)
1;Aruba (Netherlands);Americas;Caribbean;EN;Female;22-26;Aruba (Netherlands);Full of struggles;Region (I am European / I am Asian)
1;Tunisia;Africa;Northern Africa;EN;Female;18-21;Tunisia;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Aruba (Netherlands);Americas;Caribbean;EN;Male;18-21;Aruba (Netherlands);Full of struggles;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Honduras;Americas;Central America;EN;Female;27-30;Honduras;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of opportunities;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Bulgaria;Europe;Eastern Europe;EN;Female;27-30;Bulgaria;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Kenya;Africa;Eastern Africa;NA;Male;31-35;Kenya;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Pakistan;Asia;Southern Asia;NA;Female;22-26;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;Nigeria;Africa;Western Africa;EN;Male;22-26;Nigeria;Full of struggles;Other
1;Pakistan;Asia;Southern Asia;NA;Female;18-21;Pakistan;Full of struggles;Other
1;India;Asia;Southern Asia;EN;Female;31-35;India;Full of opportunities;None
1;Armenia;Asia;Western Asia;EN;Female;27-30;Armenia;Full of struggles;None
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;31-35;India;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;China;Asia;Eastern Asia;EN;Female;27-30;China;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;NA;Male;22-26;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;Pakistan;Asia;Southern Asia;EN;Female;27-30;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Male;22-26;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;United States;Americas;Northern America;EN;Female;27-30;United States;Full of struggles;Ethnicity (I am Tutsi / I am Indigenous)
1;France;Europe;Western Europe;EN;Female;22-26;France;Full of opportunities;Region (I am European / I am Asian)
1;Nigeria;Africa;Western Africa;EN;Male;22-26;Nigeria;Full of struggles;Religion (I am Muslim / I am Christian)
1;United States;Americas;Northern America;EN;Male;27-30;Russia;Full of struggles;None
1;Pakistan;Asia;Southern Asia;EN;Female;27-30;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;Italy;Europe;Southern Europe;EN;Female;22-26;Italy;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Sri Lanka;Asia;Southern Asia;EN;Male;22-26;Sri Lanka;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Switzerland;Europe;Western Europe;EN;Female;31-35;Switzerland;Full of opportunities;Global (I am a citizen of the world)
1;Slovenia;Europe;Southern Europe;EN;Male;18-21;Slovenia;Full of opportunities;Other
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Sri Lanka;Asia;Southern Asia;EN;Male;27-30;Sri Lanka;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Philippines;Asia;South-Eastern Asia;EN;Female;31-35;Philippines;Full of struggles;Global (I am a citizen of the world)
1;Philippines;Asia;South-Eastern Asia;NA;Male;22-26;Philippines;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of struggles;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;NA;Male;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;Philippines;Asia;South-Eastern Asia;EN;Male;27-30;Philippines;Full of opportunities;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Other
1;India;Asia;Southern Asia;EN;Female;31-35;India;Full of opportunities;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Male;22-26;Pakistan;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Philippines;Asia;South-Eastern Asia;EN;Male;31-35;Philippines;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;31-35;India;Full of struggles;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Male;31-35;India;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Philippines;Asia;South-Eastern Asia;EN;Female;31-35;Philippines;Full of opportunities;Region (I am European / I am Asian)
1;India;Asia;Southern Asia;EN;Male;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;NA;Male;22-26;India;;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;NA;Male;31-35;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;18-21;India;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;NA;Male;31-35;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;31-35;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Male;27-30;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Other
1;Pakistan;Asia;Southern Asia;EN;Male;31-35;Pakistan;Full of opportunities;None
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of opportunities;None
1;Cameroon;Africa;Middle Africa;EN;Male;31-35;Cameroon;Full of opportunities;Global (I am a citizen of the world)
1;Tunisia;Africa;Northern Africa;EN;Male;18-21;Tunisia;Full of struggles;Other
1;India;Asia;Southern Asia;EN;Male;31-35;India;Full of opportunities;None
1;India;Asia;Southern Asia;EN;Female;31-35;India;Full of struggles;Philosophical Beliefs (I am Utopian / I am Communist)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Other
1;Tunisia;Africa;Northern Africa;EN;Male;27-30;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;United States;Americas;Northern America;EN;Male;27-30;United States;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Aruba (Netherlands);Americas;Caribbean;EN;Female;22-26;Aruba (Netherlands);Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of struggles;Ethnicity (I am Tutsi / I am Indigenous)
1;France;Europe;Western Europe;EN;Male;27-30;France;Full of struggles;Global (I am a citizen of the world)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of opportunities;Global (I am a citizen of the world)
1;Kenya;Africa;Eastern Africa;EN;Male;31-35;Kenya;Full of opportunities;Global (I am a citizen of the world)
1;Morocco;Africa;Northern Africa;EN;Male;18-21;Morocco;Full of opportunities;Other
1;Pakistan;Asia;Southern Asia;NA;Male;22-26;Pakistan;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Pakistan;Asia;Southern Asia;EN;Female;22-26;Pakistan;Full of struggles;Other
1;Morocco;Africa;Northern Africa;EN;Female;31-35;Morocco;Full of struggles;Global (I am a citizen of the world)
1;Mexico;Americas;Central America;EN;Male;22-26;Mexico;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Pakistan;Asia;Southern Asia;EN;Female;18-21;Pakistan;Full of struggles;None
1;Mexico;Americas;Central America;EN;Male;18-21;Mexico;Full of opportunities;Other
1;Trinidad and Tobago;Americas;Caribbean;EN;Female;31-35;Trinidad and Tobago;Full of struggles;Other
1;Mexico;Americas;Central America;EN;Male;22-26;Mexico;Full of opportunities;Region (I am European / I am Asian)
1;Ukraine;Europe;Eastern Europe;EN;Female;27-30;Ukraine;Full of opportunities;Global (I am a citizen of the world)
1;Brazil;Americas;South America;EN;Male;22-26;Brazil;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Poland;Europe;Eastern Europe;EN;Male;27-30;Poland;Full of opportunities;Region (I am European / I am Asian)
1;Pakistan;Asia;Southern Asia;EN;Female;27-30;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of struggles;Philosophical Beliefs (I am Utopian / I am Communist)
1;Mexico;Americas;Central America;EN;Male;22-26;Mexico;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Global (I am a citizen of the world)
1;France;Europe;Western Europe;EN;Female;27-30;Morocco;Full of opportunities;Global (I am a citizen of the world)
1;Morocco;Africa;Northern Africa;EN;Male;31-35;Morocco;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Switzerland;Europe;Western Europe;EN;Male;27-30;Switzerland;Full of opportunities;Global (I am a citizen of the world)
1;France;Europe;Western Europe;EN;Male;31-35;France;Full of struggles;None
1;Slovakia;Europe;Eastern Europe;EN;Female;27-30;Slovakia;Full of opportunities;Region (I am European / I am Asian)
1;Nigeria;Africa;Western Africa;EN;Male;31-35;Nigeria;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Brazil;Americas;South America;EN;Female;31-35;Brazil;Full of struggles;Region (I am European / I am Asian)
1;India;Asia;Southern Asia;EN;Female;18-21;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Saudi Arabia;Asia;Western Asia;EN;Female;27-30;Saudi Arabia;Full of opportunities;Global (I am a citizen of the world)
1;Slovenia;Europe;Southern Europe;EN;Female;18-21;Slovenia;Full of opportunities;None
1;Switzerland;Europe;Western Europe;EN;Female;22-26;Germany;Full of opportunities;Global (I am a citizen of the world)
1;Switzerland;Europe;Western Europe;EN;Female;31-35;Brazil;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Male;22-26;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Nigeria;Africa;Western Africa;EN;Female;27-30;Nigeria;Full of opportunities;
1;India;Asia;Southern Asia;NA;Female;27-30;India;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Nigeria;Africa;Western Africa;EN;Male;27-30;Nigeria;Full of opportunities;Global (I am a citizen of the world)
1;Malaysia;Asia;South-Eastern Asia;EN;Male;18-21;Malaysia;Full of struggles;Region (I am European / I am Asian)
1;United States;Americas;Northern America;EN;Female;22-26;United States;Full of opportunities;Global (I am a citizen of the world)
1;Nigeria;Africa;Western Africa;EN;Male;31-35;Nigeria;;Other
1;Slovenia;Europe;Southern Europe;EN;Male;18-21;Slovenia;Full of opportunities;None
1;United States;Americas;Northern America;EN;Male;18-21;United States;Full of struggles;Other
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;None
1;India;Asia;Southern Asia;EN;Female;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;Slovenia;Europe;Southern Europe;EN;Male;18-21;Slovenia;Full of struggles;Other
1;Tunisia;Africa;Northern Africa;EN;Female;27-30;Tunisia;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;United States;Americas;Northern America;EN;Male;27-30;United States;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;New Zealand;Oceania;Australia and New Zealand;EN;Female;22-26;New Zealand;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;Bahrain;Asia;Western Asia;EN;Male;31-35;Bahrain;Full of opportunities;Global (I am a citizen of the world)
1;New Zealand;Oceania;Australia and New Zealand;EN;Female;18-21;United Kingdom;Full of struggles;Region (I am European / I am Asian)
1;New Zealand;Oceania;Australia and New Zealand;EN;Male;22-26;New Zealand;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;India;Asia;Southern Asia;NA;Male;27-30;India;Full of opportunities;Global (I am a citizen of the world)
1;China;Asia;Eastern Asia;EN;Male;27-30;China;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;New Zealand;Oceania;Australia and New Zealand;EN;Male;22-26;New Zealand;;Ethnicity (I am Tutsi / I am Indigenous)
1;Poland;Europe;Eastern Europe;EN;Male;27-30;Poland;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;United States;Americas;Northern America;EN;Female;31-35;United States;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Poland;Europe;Eastern Europe;EN;Female;27-30;Poland;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Global (I am a citizen of the world)
1;India;Asia;Southern Asia;EN;Female;22-26;India;Full of opportunities;Nationality (I am Indian / I am Argentinian)
